country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Alipur, Delhi - DPCC",11-09-2026 05:00:00,28.815329,77.15301,NH3,,,
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",11-09-2026 05:00:00,28.7256504,77.2011573,NO2,1.0,119.0,44.0
India,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",11-09-2026 05:00:00,28.5918245,77.2273074,NH3,,,
India,Delhi,Delhi,"JNU, Delhi - DPCC",11-09-2026 05:00:00,28.540721,77.168544,PM2.5,14.0,108.0,59.0
India,Delhi,Delhi,"JNU, Delhi - DPCC",11-09-2026 05:00:00,28.540721,77.168544,CO,65.0,87.0,76.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",11-09-2026 05:00:00,28.822836,77.101981,PM2.5,20.0,290.0,76.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",11-09-2026 05:00:00,28.822836,77.101981,CO,50.0,63.0,57.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",11-09-2026 05:00:00,28.822836,77.101981,OZONE,4.0,14.0,8.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",11-09-2026 05:00:00,28.7500499,77.1112615,OZONE,6.0,18.0,12.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",11-09-2026 05:00:00,28.5710274,77.0719006,NO2,17.0,55.0,31.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",11-09-2026 05:00:00,28.5710274,77.0719006,SO2,14.0,22.0,18.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",11-09-2026 05:00:00,28.498571,77.26484,PM2.5,23.0,140.0,55.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",11-09-2026 05:00:00,28.498571,77.26484,SO2,4.0,9.0,6.0
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",11-09-2026 05:00:00,28.54246,77.191651,NO2,12.0,48.0,30.0
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",11-09-2026 05:00:00,28.493624,77.201159,PM2.5,11.0,31.0,21.0
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",11-09-2026 05:00:00,28.493624,77.201159,NO2,6.0,20.0,10.0
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",11-09-2026 05:00:00,28.615828,77.271992,NH3,1.0,3.0,2.0
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",11-09-2026 05:00:00,28.615828,77.271992,OZONE,4.0,10.0,7.0
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",11-09-2026 05:00:00,28.62181,77.1944633,NH3,1.0,4.0,2.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",11-09-2026 05:00:00,28.60909,77.0325413,OZONE,71.0,74.0,73.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",11-09-2026 05:00:00,28.628624,77.24106,PM2.5,12.0,97.0,53.0
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",11-09-2026 05:00:00,28.39072,77.30059,PM10,142.0,161.0,150.0
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",11-09-2026 05:00:00,28.39072,77.30059,NH3,11.0,12.0,11.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-09-2026 05:00:00,28.531346,77.190156,PM2.5,3.0,80.0,57.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-09-2026 05:00:00,28.531346,77.190156,NO2,4.0,22.0,13.0
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",11-09-2026 05:00:00,28.531346,77.190156,CO,56.0,70.0,63.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-09-2026 05:00:00,28.56789,77.250515,PM2.5,20.0,250.0,88.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-09-2026 05:00:00,28.56789,77.250515,NO2,16.0,53.0,35.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",11-09-2026 05:00:00,28.56789,77.250515,NH3,6.0,11.0,8.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-09-2026 05:00:00,28.623763,77.287209,PM2.5,3.0,233.0,51.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-09-2026 05:00:00,28.623763,77.287209,NO2,15.0,63.0,31.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-09-2026 05:00:00,28.623763,77.287209,SO2,5.0,9.0,7.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",11-09-2026 05:00:00,28.623763,77.287209,OZONE,11.0,14.0,12.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",11-09-2026 05:00:00,28.58028,77.233829,PM2.5,30.0,93.0,58.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",11-09-2026 05:00:00,28.58028,77.233829,SO2,36.0,45.0,40.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",11-09-2026 05:00:00,28.570173,76.933762,NO2,7.0,31.0,15.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",11-09-2026 05:00:00,28.570173,76.933762,SO2,16.0,21.0,18.0
