system:index,AOD,date,image_count,.geo
277,709.3530186998172,2021-10-05,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,518.9840579740802,2021-10-06,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,834.7272425744325,2021-10-07,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,701.4266158467423,2021-10-08,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,463.8721502062476,2021-10-09,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,530.0271565545762,2021-10-10,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,422.0393706354825,2021-10-11,86,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,445.98476043767533,2021-10-12,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,481.1452410839941,2021-10-13,89,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,446.25979844482015,2021-10-14,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,440.0984842491123,2021-10-15,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,1036.454626186387,2021-10-16,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,,2021-10-17,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,,2021-10-18,90,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,496.7389900595477,2021-10-19,94,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,840.8315730784285,2021-10-20,91,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,389.7510066387608,2021-10-21,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,343.1817649146988,2021-10-22,93,"{""type"":""MultiPoint"",""coordinates"":[]}"
295,385.1455015411232,2021-10-23,93,"{""type"":""MultiPoint"",""coordinates"":[]}"
296,1343.9700192967146,2021-10-24,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
297,537.7887765755917,2021-10-25,94,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,528.5297349589983,2021-10-26,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
299,960.0239745382963,2021-10-27,93,"{""type"":""MultiPoint"",""coordinates"":[]}"
300,677.487782297144,2021-10-28,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,893.6537769301365,2021-10-29,96,"{""type"":""MultiPoint"",""coordinates"":[]}"
302,467.56861336751473,2021-10-30,97,"{""type"":""MultiPoint"",""coordinates"":[]}"
303,829.4557596269832,2021-10-31,98,"{""type"":""MultiPoint"",""coordinates"":[]}"
304,1115.1515389277026,2021-11-01,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
305,1050.0317383412657,2021-11-02,100,"{""type"":""MultiPoint"",""coordinates"":[]}"
306,1166.7143136542807,2021-11-03,99,"{""type"":""MultiPoint"",""coordinates"":[]}"
