country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"West Bengal",Howrah,"Botanical Garden, Howrah - WBPCB","11-09-2026 05:00:00",22.554954,88.292568,PM2.5,22,85,43
India,"West Bengal",Howrah,"Botanical Garden, Howrah - WBPCB","11-09-2026 05:00:00",22.554954,88.292568,NH3,2,3,2
India,"West Bengal",Howrah,"Botanical Garden, Howrah - WBPCB","11-09-2026 05:00:00",22.554954,88.292568,CO,9,16,12
India,"West Bengal",Kolkata,"Fort William, Kolkata - WBPCB","11-09-2026 05:00:00",22.55664,88.342674,NO2,13,25,17
India,"West Bengal",Kolkata,"Ballygunge, Kolkata - WBPCB","11-09-2026 05:00:00",22.5367507,88.3638022,CO,11,19,15
India,"West Bengal",Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","11-09-2026 05:00:00",22.51106,88.35142,NH3,5,8,6
India,"West Bengal",Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","11-09-2026 05:00:00",22.51106,88.35142,SO2,5,7,6
India,"West Bengal",Kolkata,"Jadavpur, Kolkata - WBPCB","11-09-2026 05:00:00",22.49929,88.36917,PM10,25,77,48
India,"West Bengal",Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","11-09-2026 05:00:00",22.627847,88.380669,SO2,8,10,9
India,Bihar,Munger,"Town Hall, Munger - BSPCB","11-09-2026 05:00:00",25.376776,86.471523,SO2,67,78,73
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","11-09-2026 05:00:00",26.11442,85.39813,SO2,3,7,5
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","11-09-2026 05:00:00",26.1403345,85.3650192,PM10,31,47,40
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","11-09-2026 05:00:00",26.1403345,85.3650192,NO2,2,8,4
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","11-09-2026 05:00:00",26.1403345,85.3650192,OZONE,21,23,22
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","11-09-2026 05:00:00",25.599486,85.113666,PM2.5,22,48,33
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","11-09-2026 05:00:00",25.599486,85.113666,NO2,28,33,31
India,Bihar,Patna,"Muradpur, Patna - BSPCB","11-09-2026 05:00:00",25.619651,85.147382,NH3,4,5,5
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","11-09-2026 05:00:00",25.586562,85.043586,PM2.5,21,30,26
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","11-09-2026 05:00:00",25.586562,85.043586,NO2,20,26,23
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","11-09-2026 05:00:00",25.586562,85.043586,SO2,4,7,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","11-09-2026 05:00:00",25.586562,85.043586,CO,27,43,34
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","11-09-2026 05:00:00",25.610369,85.132568,PM2.5,3,187,86
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","11-09-2026 05:00:00",16.554731,80.64911,SO2,NA,NA,NA
India,"Andhra Pradesh",Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","11-09-2026 05:00:00",16.554731,80.64911,OZONE,NA,NA,NA
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","11-09-2026 05:00:00",16.536107,80.594233,NO2,18,29,21
India,"Andhra Pradesh",Vijayawada,"HB Colony, Vijayawada - APPCB","11-09-2026 05:00:00",16.536107,80.594233,SO2,11,19,16
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","11-09-2026 05:00:00",16.509717,80.612222,PM10,70,93,83
India,"Andhra Pradesh",Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","11-09-2026 05:00:00",16.509717,80.612222,OZONE,11,11,11
India,"Andhra Pradesh",Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","11-09-2026 05:00:00",17.72,83.3,OZONE,4,32,15
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","11-09-2026 05:00:00",27.103358,93.679645,PM2.5,11,94,42
India,"Arunachal Pradesh",Naharlagun,"Naharlagun, Naharlagun - APSPCB","11-09-2026 05:00:00",27.103358,93.679645,NH3,1,1,1
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","11-09-2026 05:00:00",24.7955,84.9994,OZONE,27,28,28
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","11-09-2026 05:00:00",25.560083,87.553265,SO2,12,26,19
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","11-09-2026 05:00:00",26.0881305,87.93840336,NO2,7,8,8
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","11-09-2026 05:00:00",26.0881305,87.93840336,SO2,5,13,10
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","11-09-2026 05:00:00",27.308328,84.531742,NH3,0,1,1
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","11-09-2026 05:00:00",27.308328,84.531742,SO2,13,48,28
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","11-09-2026 05:00:00",26.63086,84.90051,NO2,2,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","11-09-2026 05:00:00",26.63086,84.90051,OZONE,55,60,58
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","11-09-2026 05:00:00",14.675886,77.593027,PM2.5,57,111,78
India,"Andhra Pradesh",Anantapur,"Gulzarpet, Anantapur - APPCB","11-09-2026 05:00:00",14.675886,77.593027,NO2,16,24,20
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","11-09-2026 05:00:00",16.711754,81.092095,PM2.5,45,66,56
India,"Andhra Pradesh",Eluru,"District Court, Eluru - APPCB","11-09-2026 05:00:00",16.711754,81.092095,PM10,54,76,63
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","11-09-2026 05:00:00",16.316553,80.413302,NH3,6,17,8
India,"Andhra Pradesh",Guntur,"Rajendra Nagar North, Guntur - APPCB","11-09-2026 05:00:00",16.316553,80.413302,OZONE,17,17,17
India,"Andhra Pradesh",Kadapa,"Yerramukkapalli, Kadapa - APPCB","11-09-2026 05:00:00",14.465052,78.824187,CO,26,43,33
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","11-09-2026 05:00:00",15.83411,78.028546,PM10,39,65,53
India,"Andhra Pradesh",Kurnool,"Sita Rama Nagar, Kurnool - APPCB","11-09-2026 05:00:00",15.83411,78.028546,SO2,10,13,11
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","11-09-2026 05:00:00",16.186555,81.13219,PM10,55,77,69
India,"Andhra Pradesh",Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB","11-09-2026 05:00:00",16.186555,81.13219,NO2,26,73,37
